striker,num_innings,runs,balls,outs,bat_avg,bat_sr,form_class,Curr_Tm
CH Gayle,10,614,327,8,76.75,187.77,Elite,RCB
Shubman Gill,10,589,312,7,84.14,188.78,Elite,LSG
P Simran Singh,10,570,323,9,63.33,176.47,Elite,SRH
Urvil Patel,10,494,334,8,61.75,147.9,Long_Hauler,MI
N Sindhu,10,475,245,7,67.86,193.88,Elite,DC
Ishan Kishan,10,463,296,8,57.88,156.42,Long_Hauler,KKR
Naman Dhir,10,462,262,8,57.75,176.34,Elite,GT
S Dube,10,454,277,7,64.86,163.9,Long_Hauler,RR
GJ Maxwell,10,443,225,10,44.3,196.89,Elite,DC
Atharva Taide,10,434,271,8,54.25,160.15,Long_Hauler,RCB
KL Rahul,10,402,247,8,50.25,162.75,Long_Hauler,SRH
Tilak Varma,10,399,246,9,44.33,162.2,Long_Hauler,CSK
KK Nair,10,396,218,6,66.0,181.65,Elite,CSK
Aniket Verma,10,394,215,8,49.25,183.26,Elite,RR
FH Allen,10,389,246,10,38.9,158.13,Long_Hauler,LSG
SV Samson,10,357,186,10,35.7,191.94,Elite,GT
Sahil Parakh,10,345,206,10,34.5,167.48,Hitter,SRH
JP Inglis,10,339,214,10,33.9,158.41,Balanced,GT
H Klaasen,10,338,220,10,33.8,153.64,Balanced,CSK
Tushar Raheja,10,335,177,10,33.5,189.27,Hitter,MI
Abishek Porel,10,307,188,7,43.86,163.3,Long_Hauler,LSG
VR Iyer,10,301,162,4,75.25,185.8,Elite,SRH
Abhishek Pathak,10,301,172,7,43.0,175.0,Elite,RCB
MR Marsh,10,292,177,6,48.67,164.97,Long_Hauler,MI
RD Gaikwad,10,291,162,10,29.1,179.63,Hitter,CSK
DR Mousley,10,282,197,9,31.33,143.15,Balanced,LSG
YBK Jaiswal,10,281,146,9,31.22,192.47,Hitter,RR
Abhishek Sharma,10,275,137,9,30.56,200.73,Hitter,MI
WL Madsen,10,254,162,8,31.75,156.79,Balanced,KKR
GD Phillips,10,252,134,6,42.0,188.06,Elite,RR
R Parag,10,252,168,9,28.0,150.0,Balanced,GT
RD Rickelton,10,249,172,9,27.67,144.77,Balanced,RR
J Fraser-McGurk,10,247,121,10,24.7,204.13,Hitter,KKR
SP Narine,10,247,175,10,24.7,141.14,Balanced,PBKS
N Rana,10,241,173,9,26.78,139.31,Poor,PBKS
RG Sharma,10,240,134,8,30.0,179.1,Hitter,KKR
TP Ura,10,232,139,9,25.78,166.91,Hitter,PBKS
SA Yadav,10,227,133,10,22.7,170.68,Poor,DC
RR Rossouw,10,227,166,10,22.7,136.75,Poor,PBKS
C Green,10,224,173,10,22.4,129.48,Poor,KKR
V Nigam,10,223,114,5,44.6,195.61,Elite,GT
BM Duckett,10,223,141,10,22.3,158.16,Poor,
WG Jacks,10,223,155,9,24.78,143.87,Balanced,LSG
PWH de Silva,10,217,113,8,27.12,192.04,Hitter,RCB
Vansh Bedi,10,214,120,6,35.67,178.33,Elite,PBKS
Tarang Gohel,10,207,111,7,29.57,186.49,Hitter,DC
PD Salt,10,203,157,10,20.3,129.3,Poor,RR
Salil Arora,10,197,103,9,21.89,191.26,Short_Impact,RCB
KA Pollard,10,195,130,9,21.67,150.0,Poor,CSK
JM Sharma,10,194,122,6,32.33,159.02,Balanced,RCB
Shashank Singh,10,183,109,8,22.88,167.89,Poor,PBKS
HH Pandya,10,171,83,7,24.43,206.02,Hitter,SRH
TH David,10,169,99,8,21.12,170.71,Poor,GT
Jay Gohil,10,168,85,5,33.6,197.65,Hitter,LSG
Ravi Singh,10,157,109,10,15.7,144.04,Poor,KKR
Tanush Kotian,10,151,56,4,37.75,269.64,Elite,CSK
AK Markram,10,148,107,8,18.5,138.32,Poor,DC
MJ Owen,10,147,96,10,14.7,153.12,Poor,DC
B Sai Sudharsan,10,147,103,10,14.7,142.72,Poor,CSK
Nithish Kumar Reddy,10,146,90,8,18.25,162.22,Poor,GT
AB de Villiers,10,146,121,9,16.22,120.66,Poor,CSK
Karan Shinde,10,145,74,7,20.71,195.95,Short_Impact,DC
Sakibul Gani,10,145,89,9,16.11,162.92,Poor,MI
D Wiese,10,129,67,8,16.12,192.54,Short_Impact,KKR
Sameer Rizvi,10,107,54,7,15.29,198.15,Short_Impact,LSG
Utkarsh Singh,10,97,70,8,12.12,138.57,Poor,PBKS
T Stubbs,10,96,78,7,13.71,123.08,Poor,PBKS
AD Russell,10,90,57,6,15.0,157.89,Poor,DC
LS Livingstone,10,88,82,6,14.67,107.32,Poor,KKR
V Kohli,10,85,79,9,9.44,107.59,Poor,RR
JM Coles,10,82,84,8,10.25,97.62,Poor,MI
GF Linde,10,71,53,7,10.14,133.96,Poor,GT
Karan Lal,10,52,53,4,13.0,98.11,Poor,RR
AR Ramjani,10,47,56,6,7.83,83.93,Poor,PBKS
