bowler,num_innings,runs,balls,wkts,bowl_sr,bowl_eco,form_class,Curr_Tm
Karan Lal,10,353,221,20,11.05,9.58,Striker,RR
Imran Tahir,10,321,232,19,12.21,8.3,Elite,CSK
MA Starc,10,347,205,19,10.79,10.16,Striker,KKR
NT Ellis,10,336,228,18,12.67,8.84,Elite,SRH
B Kumar,10,334,216,18,12.0,9.28,Striker,KKR
Fazalhaq Farooqi,10,301,240,17,14.12,7.52,Elite,CSK
Ravi Teja,10,276,214,17,12.59,7.74,Elite,RCB
AK Markram,10,310,203,17,11.94,9.16,Elite,DC
KA Maharaj,10,316,205,17,12.06,9.25,Striker,SRH
Arshdeep Singh,10,364,217,17,12.76,10.06,Striker,LSG
Shahbaz Ahmed,10,417,240,17,14.12,10.42,Striker,LSG
V Nigam,10,302,222,16,13.88,8.16,Elite,GT
LS Livingstone,10,239,165,16,10.31,8.69,Elite,KKR
SH Johnson,10,329,218,16,13.62,9.06,Elite,GT
A Zampa,10,355,223,16,13.94,9.55,Striker,SRH
R Ashwin,10,340,212,16,13.25,9.62,Striker,KKR
Ashwani Kumar,10,488,234,16,14.62,12.51,Striker,RR
LI Meriwala,10,307,234,15,15.6,7.87,Elite,DC
CV Varun,10,330,228,15,15.2,8.68,Elite,PBKS
Mohammad Ghazanfar,10,344,222,15,14.8,9.3,Striker,SRH
SL Malinga,10,387,223,15,14.87,10.41,Striker,PBKS
JC Archer,10,428,228,15,15.2,11.26,Striker,LSG
M Pathirana,10,420,221,15,14.73,11.4,Striker,RCB
JR Hazlewood,10,389,240,14,17.14,9.72,Striker,RR
S Dube,10,366,222,14,15.86,9.89,Striker,RR
SS Ghosh,10,301,182,14,13.0,9.92,Striker,MI
HJ Manenti,10,373,218,14,15.57,10.27,Striker,CSK
AR Ramjani,10,271,222,13,17.08,7.32,Elite,PBKS
S Lamichhane,10,286,193,13,14.85,8.89,Elite,DC
MP Yadav,10,305,204,13,15.69,8.97,Elite,PBKS
GF Linde,10,392,237,13,18.23,9.92,Balanced,GT
Swapnil Singh,10,411,240,13,18.46,10.28,Balanced,CSK
Avesh Khan,10,392,217,13,16.69,10.84,Striker,GT
YK Pathan,10,224,186,12,15.5,7.23,Elite,KKR
C Sakariya,10,360,240,12,20.0,9.0,Choker,SRH
A Nagwaswalla,10,364,238,12,19.83,9.18,Choker,RR
Noor Ahmad,10,384,240,12,20.0,9.6,Balanced,MI
JJ Bumrah,10,381,238,12,19.83,9.61,Balanced,DC
Shaheen Shah Afridi,10,370,228,12,19.0,9.74,Balanced,MI
Suyash Sharma,10,381,234,12,19.5,9.77,Balanced,KKR
Yuvraj Singh,10,404,210,12,17.5,11.54,Balanced,CSK
DS Rathi,10,342,228,11,20.73,9.0,Choker,KKR
Shashank Singh,10,281,182,11,16.55,9.26,Striker,PBKS
Mohammed Shami,10,382,234,11,21.27,9.79,Balanced,LSG
PWH de Silva,10,362,216,11,19.64,10.06,Balanced,RCB
TA Boult,10,411,240,11,21.82,10.28,Balanced,MI
Naveen-ul-Haq,10,429,240,11,21.82,10.72,Balanced,SRH
Mayank Dagar,10,390,209,11,19.0,11.2,Balanced,LSG
C Green,10,285,204,10,20.4,8.38,Choker,KKR
AR Patel,10,313,222,10,22.2,8.46,Choker,CSK
Kuldeep Yadav,10,316,213,10,21.3,8.9,Choker,SRH
Harshit Rana,10,335,222,10,22.2,9.05,Choker,KKR
Akash Vasisht,10,326,216,10,21.6,9.06,Choker,SRH
V Puthur,10,318,210,10,21.0,9.09,Choker,DC
Mohammad Nabi,10,350,228,10,22.8,9.21,Choker,LSG
Tanush Kotian,10,358,233,10,23.3,9.22,Balanced,CSK
KH Pandya,10,333,216,10,21.6,9.25,Balanced,RR
SP Narine,10,354,228,10,22.8,9.32,Balanced,KKR
Harsh Dubey,10,309,192,10,19.2,9.66,Balanced,RCB
DS Airee,10,333,198,10,19.8,10.09,Balanced,CSK
Yudhvir Singh,10,328,192,10,19.2,10.25,Balanced,RCB
CH Gayle,10,246,140,10,14.0,10.54,Striker,CSK
R Shepherd,10,431,237,10,23.7,10.91,Balanced,GT
Shadab Khan,10,233,180,9,20.0,7.77,Choker,SRH
K Kartikeya,10,279,197,9,21.89,8.5,Choker,LSG
VG Arora,10,325,225,9,25.0,8.67,Choker,KKR
Khrievitso Kense,10,352,240,9,26.67,8.8,Choker,RCB
Ashutosh Sharma,10,281,186,9,20.67,9.06,Choker,RCB
YS Chahal,10,353,220,9,24.44,9.63,Balanced,RCB
MJ Owen,10,251,154,9,17.11,9.78,Striker,DC
Sikandar Raza,10,303,180,9,20.0,10.1,Balanced,MI
R Sai Kishore,10,398,232,9,25.78,10.29,Poor,MI
T Natarajan,10,378,210,9,23.33,10.8,Balanced,CSK
SZ Mulani,10,285,192,8,24.0,8.91,Choker,LSG
JJ Smit,10,341,228,8,28.5,8.97,Choker,PBKS
Suryansh Shedge,10,361,216,8,27.0,10.03,Balanced,CSK
BA Stokes,10,379,222,8,27.75,10.24,Poor,RR
Jagjit Singh,10,367,212,8,26.5,10.39,Poor,SRH
TU Deshpande,10,379,216,8,27.0,10.53,Poor,MI
Yash Thakur,10,395,222,8,27.75,10.68,Poor,MI
M Siddharth,10,354,192,8,24.0,11.06,Poor,CSK
MJ Santner,10,305,200,7,28.57,9.15,Choker,KKR
HR Shokeen,10,332,210,7,30.0,9.49,Balanced,RR
Naseem Shah,10,382,240,7,34.29,9.55,Balanced,LSG
D Brevis,10,268,156,7,22.29,10.31,Balanced,LSG
Ravi Bishnoi,10,367,209,7,29.86,10.54,Poor,GT
Arshad Khan,10,211,120,7,17.14,10.55,Striker,DC
Washington Sundar,10,315,216,6,36.0,8.75,Choker,PBKS
WG Jacks,10,290,168,6,28.0,10.36,Poor,LSG
MR Marsh,10,234,132,6,22.0,10.64,Balanced,SRH
M Prasidh Krishna,10,450,240,6,40.0,11.25,Poor,RR
JG Bethell,10,315,156,6,26.0,12.12,Poor,RR
Chirag Jani,10,209,138,5,27.6,9.09,Choker,CSK
Nithish Kumar Reddy,10,191,120,5,24.0,9.55,Balanced,SRH
HV Patel,10,375,234,5,46.8,9.62,Balanced,GT
RA Jadeja,10,233,144,5,28.8,9.71,Balanced,SRH
D Wiese,10,313,186,5,37.2,10.1,Balanced,GT
Cheepurapalli Stephen,10,367,216,5,43.2,10.19,Poor,CSK
VR Iyer,10,286,162,5,32.4,10.59,Poor,SRH
AS Roy,10,318,180,5,36.0,10.6,Poor,GT
Rasikh Salam,10,432,234,5,46.8,11.08,Poor,MI
Shakib Al Hasan,10,245,186,4,46.5,7.9,Choker,PBKS
HH Pandya,10,348,210,4,52.5,9.94,Balanced,MI
RD Chahar,10,307,174,4,43.5,10.59,Poor,CSK
Ramandeep Singh,10,213,120,4,30.0,10.65,Poor,LSG
KK Ahmed,10,376,210,4,52.5,10.74,Poor,RR
Harpreet Brar,10,336,198,3,66.0,10.18,Balanced,GT
AD Russell,10,371,198,3,66.0,11.24,Poor,DC
RA Bawa,10,169,120,2,60.0,8.45,Choker,SRH
MP Stoinis,10,273,144,2,72.0,11.38,Poor,KKR
