striker,innings,pitch,runs,balls,outs,avg,SR,Curr_Tm
KL Rahul,1,spin,1137,730,20,56.85,155.75,SRH
Shubman Gill,2,pace,1023,622,17,60.18,164.47,LSG
Abhishek Sharma,2,pace,1005,569,19,52.89,176.63,MI
GJ Maxwell,2,pace,894,531,18,49.67,168.36,RR
GJ Maxwell,1,spin,875,517,19,46.05,169.25,RR
RD Gaikwad,1,pace,865,512,20,43.25,168.95,GT
PD Salt,2,pace,865,545,18,48.06,158.72,RCB
SA Yadav,1,pace,853,435,17,50.18,196.09,DC
N Pooran,2,pace,828,489,20,41.4,169.33,MI
H Klaasen,1,spin,785,509,12,65.42,154.22,CSK
N Rana,1,pace,773,414,18,42.94,186.71,PBKS
TM Head,2,pace,754,496,19,39.68,152.02,GT
P Simran Singh,1,spin,750,475,28,26.79,157.89,SRH
P Simran Singh,2,spin,735,441,19,38.68,166.67,SRH
N Pooran,1,pace,735,491,15,49.0,149.69,MI
PD Salt,1,pace,729,461,19,38.37,158.13,RCB
PD Salt,2,spin,723,421,20,36.15,171.73,RCB
C Green,2,pace,714,382,13,54.92,186.91,KKR
Tilak Varma,1,pace,713,481,22,32.41,148.23,CSK
V Kohli,2,spin,706,479,16,44.12,147.39,DC
JC Buttler,1,pace,693,426,20,34.65,162.68,LSG
SA Yadav,2,spin,690,406,17,40.59,169.95,DC
V Kohli,2,pace,688,408,13,52.92,168.63,DC
Shubman Gill,1,spin,683,430,14,48.79,158.84,LSG
KL Rahul,2,spin,678,467,15,45.2,145.18,SRH
Tilak Varma,2,pace,677,467,16,42.31,144.97,CSK
N Sindhu,1,pace,645,394,16,40.31,163.71,DC
B Sai Sudharsan,1,spin,637,396,12,53.08,160.86,CSK
T Stubbs,1,pace,637,398,13,49.0,160.05,CSK
S Dube,2,pace,635,374,17,37.35,169.79,RR
Shubman Gill,1,pace,634,381,19,33.37,166.4,LSG
VR Iyer,2,spin,625,374,8,78.12,167.11,SRH
SS Iyer,2,pace,622,392,17,36.59,158.67,LSG
F du Plessis,1,pace,611,455,11,55.55,134.29,
TM Head,1,pace,611,416,17,35.94,146.88,GT
MP Stoinis,2,pace,610,343,11,55.45,177.84,KKR
Naman Dhir,1,pace,610,371,15,40.67,164.42,GT
V Kohli,1,pace,602,369,21,28.67,163.14,DC
AM Rahane,1,pace,602,386,17,35.41,155.96,MI
RG Sharma,1,pace,588,328,11,53.45,179.27,KKR
SV Samson,2,pace,588,377,13,45.23,155.97,GT
Ishan Kishan,2,pace,580,391,20,29.0,148.34,MI
Abishek Porel,1,pace,580,314,15,38.67,184.71,DC
V Suryavanshi,2,spin,576,335,13,44.31,171.94,PBKS
RD Gaikwad,1,spin,571,360,10,57.1,158.61,GT
R Parag,1,pace,565,343,15,37.67,164.72,GT
WG Jacks,1,pace,564,334,16,35.25,168.86,LSG
B Sai Sudharsan,1,pace,553,398,22,25.14,138.94,CSK
RM Patidar,1,spin,552,360,14,39.43,153.33,KKR
JP Inglis,1,pace,552,344,12,46.0,160.47,GT
SA Yadav,2,pace,551,342,11,50.09,161.11,DC
SV Samson,1,pace,551,384,18,30.61,143.49,GT
VR Iyer,1,spin,550,371,17,32.35,148.25,SRH
S Dube,1,spin,544,334,15,36.27,162.87,RR
YBK Jaiswal,1,spin,544,298,14,38.86,182.55,RR
RK Singh,2,pace,533,309,14,38.07,172.49,MI
B Sai Sudharsan,2,pace,528,385,18,29.33,137.14,CSK
JM Sharma,1,pace,523,307,7,74.71,170.36,RCB
Naman Dhir,2,spin,520,311,11,47.27,167.2,GT
Shubman Gill,2,spin,511,351,13,39.31,145.58,LSG
Abishek Porel,1,neutralish,510,265,8,63.75,192.45,DC
JP Inglis,2,spin,505,300,10,50.5,168.33,GT
Aniket Verma,1,spin,505,277,7,72.14,182.31,RR
SV Samson,2,spin,499,338,17,29.35,147.63,GT
Abhishek Sharma,1,pace,496,293,17,29.18,169.28,MI
YBK Jaiswal,2,pace,486,269,18,27.0,180.67,RR
YBK Jaiswal,1,pace,485,253,8,60.62,191.7,RR
Tilak Varma,2,spin,485,295,15,32.33,164.41,CSK
Naman Dhir,1,spin,485,277,8,60.62,175.09,GT
Q de Kock,1,spin,483,328,17,28.41,147.26,
Smaran Ravichandran,2,spin,482,276,12,40.17,174.64,PBKS
GJ Maxwell,1,pace,475,269,12,39.58,176.58,RR
JM Sharma,2,pace,470,262,13,36.15,179.39,RCB
Sameer Rizvi,1,pace,468,250,7,66.86,187.2,LSG
Abhishek Sharma,2,spin,466,282,10,46.6,165.25,MI
DP Conway,2,spin,465,329,12,38.75,141.34,PBKS
B Sai Sudharsan,2,spin,465,312,14,33.21,149.04,CSK
JM Sharma,2,spin,464,257,15,30.93,180.54,RCB
GJ Maxwell,2,neutralish,464,253,11,42.18,183.4,RR
N Pooran,1,spin,463,289,13,35.62,160.21,MI
AM Rahane,1,spin,455,307,11,41.36,148.21,MI
Abhishek Sharma,1,spin,455,267,15,30.33,170.41,MI
LS Livingstone,1,spin,454,312,13,34.92,145.51,KKR
RD Gaikwad,2,spin,454,280,12,37.83,162.14,GT
SP Narine,2,pace,449,323,16,28.06,139.01,KKR
FH Allen,2,pace,446,275,14,31.86,162.18,PBKS
FH Allen,2,spin,445,267,11,40.45,166.67,PBKS
KA Pollard,2,pace,445,233,6,74.17,190.99,CSK
Urvil Patel,1,spin,443,298,9,49.22,148.66,MI
P Simran Singh,2,pace,441,284,11,40.09,155.28,SRH
S Dube,1,pace,441,290,10,44.1,152.07,RR
N Rana,2,pace,434,276,14,31.0,157.25,PBKS
RD Gaikwad,2,pace,434,290,21,20.67,149.66,GT
BM Duckett,1,spin,430,255,6,71.67,168.63,
LS Livingstone,2,spin,429,328,18,23.83,130.79,KKR
SS Iyer,1,pace,425,286,15,28.33,148.6,LSG
SP Narine,1,spin,425,294,14,30.36,144.56,KKR
Tilak Varma,1,spin,425,270,9,47.22,157.41,CSK
WG Jacks,2,spin,424,266,13,32.62,159.4,LSG
Smaran Ravichandran,2,pace,423,270,11,38.45,156.67,PBKS
N Sindhu,1,neutralish,421,234,6,70.17,179.91,DC
WL Madsen,1,spin,418,256,6,69.67,163.28,MI
Atharva Taide,2,pace,416,261,10,41.6,159.39,MI
KL Rahul,2,pace,415,274,10,41.5,151.46,SRH
Naman Dhir,1,neutralish,415,221,12,34.58,187.78,GT
WG Jacks,1,spin,415,310,16,25.94,133.87,LSG
WG Jacks,2,pace,412,247,11,37.45,166.8,LSG
AM Rahane,2,pace,412,293,18,22.89,140.61,MI
