bowler,batter_order,runs_conceded,balls,wkts,eco,SR,Curr_Tm
B Kumar,middle,1067,578,41,11.08,14.1,KKR
M Pathirana,top,978,633,41,9.27,15.44,RCB
M Pathirana,middle,888,522,39,10.21,13.38,RCB
Arshdeep Singh,top,1514,935,35,9.72,26.71,LSG
JJ Bumrah,middle,901,589,35,9.18,16.83,DC
JJ Bumrah,top,919,622,33,8.86,18.85,DC
Suryansh Shedge,middle,853,514,33,9.96,15.58,CSK
B Kumar,top,946,585,33,9.7,17.73,KKR
YS Chahal,middle,675,388,33,10.44,11.76,RCB
Washington Sundar,top,828,544,32,9.13,17.0,PBKS
AR Patel,middle,966,595,32,9.74,18.59,CSK
MA Starc,middle,721,400,31,10.82,12.9,KKR
MA Starc,top,983,620,30,9.51,20.67,KKR
JR Hazlewood,top,1033,673,30,9.21,22.43,RR
TA Boult,top,1224,803,29,9.15,27.69,MI
GJ Maxwell,top,1010,616,29,9.84,21.24,RR
Shashank Singh,top,554,420,29,7.91,14.48,PBKS
HH Pandya,middle,839,499,28,10.09,17.82,MI
Kuldeep Yadav,top,975,659,28,8.88,23.54,SRH
M Prasidh Krishna,top,1122,739,28,9.11,26.39,MI
Mohammad Nabi,middle,459,310,27,8.88,11.48,LSG
AK Markram,middle,484,327,26,8.88,12.58,DC
A Zampa,top,728,516,26,8.47,19.85,RR
MP Yadav,middle,551,304,26,10.88,11.69,PBKS
Fazalhaq Farooqi,top,710,492,25,8.66,19.68,CSK
Arshdeep Singh,middle,729,438,25,9.99,17.52,LSG
CV Varun,middle,677,424,24,9.58,17.67,PBKS
T Natarajan,middle,616,382,24,9.68,15.92,CSK
JC Archer,middle,595,360,24,9.92,15.0,LSG
DS Rathi,top,470,337,24,8.37,14.04,KKR
Washington Sundar,middle,638,477,24,8.03,19.88,PBKS
AR Patel,top,956,605,23,9.48,26.3,CSK
A Zampa,middle,546,391,23,8.38,17.0,RR
LS Livingstone,middle,625,364,22,10.3,16.55,KKR
Kuldeep Yadav,middle,656,466,22,8.45,21.18,SRH
Mohammed Shami,top,684,459,22,8.94,20.86,GT
Suryansh Shedge,top,697,446,22,9.38,20.27,CSK
R Sai Kishore,top,749,477,22,9.42,21.68,MI
Tanush Kotian,top,573,369,22,9.32,16.77,CSK
Shakib Al Hasan,top,525,369,22,8.54,16.77,PBKS
RA Jadeja,top,1011,659,21,9.2,31.38,RCB
Rashid Khan,middle,559,364,21,9.21,17.33,RR
Rasikh Salam,middle,685,403,21,10.2,19.19,GT
WG Jacks,middle,653,384,21,10.2,18.29,LSG
C Green,middle,617,404,20,9.16,20.2,KKR
SP Narine,middle,688,475,20,8.69,23.75,KKR
HH Pandya,top,783,490,20,9.59,24.5,MI
T Natarajan,top,837,498,20,10.08,24.9,CSK
Fazalhaq Farooqi,middle,433,292,20,8.9,14.6,CSK
PJ Cummins,top,679,421,20,9.68,21.05,RR
Mohammad Ghazanfar,middle,411,259,19,9.52,13.63,SRH
MA Starc,tail,165,106,19,9.34,5.58,KKR
Rashid Khan,top,894,569,19,9.43,29.95,RR
Karan Lal,middle,330,207,19,9.57,10.89,RR
Ravi Bishnoi,top,767,514,19,8.95,27.05,LSG
YS Chahal,top,670,412,19,9.76,21.68,RCB
Avesh Khan,middle,505,252,18,12.02,14.0,GT
SP Narine,top,786,515,18,9.16,28.61,KKR
C Green,top,509,318,18,9.6,17.67,KKR
TA Boult,middle,519,367,18,8.49,20.39,MI
Rasikh Salam,top,569,326,18,10.47,18.11,GT
MP Yadav,top,581,355,18,9.82,19.72,PBKS
B Kumar,tail,177,140,17,7.59,8.24,KKR
M Siddharth,top,647,435,17,8.92,25.59,CSK
BA Stokes,top,515,306,17,10.1,18.0,SRH
WG Jacks,top,359,234,17,9.21,13.76,LSG
JC Archer,top,628,373,17,10.1,21.94,LSG
AD Russell,middle,660,324,17,12.22,19.06,DC
T Natarajan,tail,141,124,17,6.82,7.29,CSK
Akash Vasisht,top,316,210,17,9.03,12.35,DC
V Puthur,top,396,250,17,9.5,14.71,DC
RA Jadeja,middle,697,400,17,10.46,23.53,RCB
JJ Bumrah,tail,87,93,17,5.61,5.47,DC
Mayank Dagar,middle,418,243,17,10.32,14.29,LSG
PJ Cummins,middle,503,346,17,8.72,20.35,RR
CV Varun,top,634,405,17,9.39,23.82,PBKS
Swapnil Singh,top,617,371,17,9.98,21.82,
Avesh Khan,top,852,545,16,9.38,34.06,GT
C Sakariya,top,565,390,16,8.69,24.38,SRH
KH Pandya,top,778,515,16,9.06,32.19,SRH
GJ Maxwell,middle,804,496,16,9.73,31.0,RR
Harpreet Brar,top,625,415,16,9.04,25.94,RR
Tanush Kotian,middle,508,321,16,9.5,20.06,CSK
HV Patel,middle,547,325,16,10.1,20.31,RR
JC Archer,tail,127,105,15,7.26,7.0,LSG
NT Ellis,middle,445,253,15,10.55,16.87,SRH
Sandeep Sharma,middle,599,352,15,10.21,23.47,LSG
AK Markram,top,528,288,15,11.0,19.2,DC
Shahbaz Ahmed,top,598,346,15,10.37,23.07,GT
CV Varun,tail,131,110,15,7.15,7.33,PBKS
AR Patel,tail,169,146,15,6.95,9.73,CSK
Shahbaz Ahmed,middle,399,254,15,9.43,16.93,GT
Noor Ahmad,top,491,308,15,9.56,20.53,MI
KH Pandya,middle,384,264,15,8.73,17.6,SRH
R Shepherd,top,506,286,15,10.62,19.07,GT
Mohammad Nabi,top,462,305,15,9.09,20.33,LSG
R Shepherd,middle,461,249,15,11.11,16.6,GT
Ashutosh Sharma,top,455,280,15,9.75,18.67,RCB
Mustafizur Rahman,top,523,326,14,9.63,23.29,
M Prasidh Krishna,middle,648,442,14,8.8,31.57,MI
Sandeep Sharma,top,713,447,14,9.57,31.93,LSG
Jagjit Singh,top,643,393,14,9.82,28.07,SRH
Ravi Bishnoi,middle,460,313,13,8.82,24.08,LSG
HV Patel,top,452,303,13,8.95,23.31,RR
LS Livingstone,tail,106,90,13,7.07,6.92,KKR
Naveen-ul-Haq,top,276,197,13,8.41,15.15,SRH
MJ Owen,middle,230,122,13,11.31,9.38,DC
Arshad Khan,top,552,318,13,10.42,24.46,RR
KA Maharaj,middle,133,97,13,8.23,7.46,SRH
M Markande,middle,401,292,13,8.24,22.46,SRH
Jagjit Singh,middle,286,171,12,10.04,14.25,SRH
Shashank Singh,middle,303,176,12,10.33,14.67,PBKS
LS Livingstone,top,535,321,12,10.0,26.75,KKR
Mayank Dagar,top,545,363,12,9.01,30.25,LSG
NT Ellis,top,330,211,12,9.38,17.58,SRH
MG Bracewell,top,396,245,12,9.7,20.42,
Sikandar Raza,middle,444,285,12,9.35,23.75,MI
Mustafizur Rahman,middle,437,269,12,9.75,22.42,
C Sakariya,middle,318,227,12,8.41,18.92,SRH
Karan Lal,top,220,164,12,8.05,13.67,RR
A Nortje,middle,445,264,12,10.11,22.0,
PHKD Mendis,middle,353,214,12,9.9,17.83,SRH
Mohammad Ghazanfar,top,443,292,12,9.1,24.33,SRH
LI Meriwala,top,298,177,12,10.1,14.75,DC
SH Johnson,top,410,252,12,9.76,21.0,
JR Hazlewood,middle,377,233,12,9.71,19.42,RR
MP Yadav,tail,98,97,11,6.06,8.82,PBKS
Noor Ahmad,middle,302,189,11,9.59,17.18,MI
DAJ Bracewell,middle,389,210,11,11.11,19.09,RCB
Swapnil Singh,middle,316,175,11,10.83,15.91,
R Sai Kishore,middle,437,253,11,10.36,23.0,MI
Naveen-ul-Haq,middle,247,135,11,10.98,12.27,SRH
Ashwani Kumar,middle,357,170,11,12.6,15.45,RR
HH Pandya,tail,109,81,11,8.07,7.36,MI
Mohammed Siraj,top,590,376,11,9.41,34.18,
BA Stokes,middle,354,263,11,8.08,23.91,SRH
AK Markram,tail,138,99,10,8.36,9.9,DC
WG Jacks,tail,144,119,10,7.26,11.9,LSG
YS Chahal,tail,142,101,10,8.44,10.1,RCB
Yash Thakur,top,345,216,10,9.58,21.6,PBKS
Yudhvir Singh,top,330,235,10,8.43,23.5,RCB
Harpreet Brar,middle,475,305,10,9.34,30.5,RR
PWH de Silva,middle,442,286,10,9.27,28.6,RCB
M Siddharth,middle,376,261,10,8.64,26.1,CSK
M Pathirana,tail,98,83,10,7.08,8.3,RCB
R Ashwin,top,535,366,10,8.77,36.6,KKR
M Theekshana,middle,335,197,10,10.2,19.7,
Harsh Dubey,middle,210,105,10,12.0,10.5,RCB
Suyash Sharma,top,581,391,10,8.92,39.1,KKR
S Lamichhane,middle,180,88,10,12.27,8.8,DC
Arshdeep Singh,tail,99,91,9,6.53,10.11,LSG
Z Khan,top,112,86,9,7.81,9.56,
SL Malinga,middle,247,129,9,11.49,14.33,PBKS
Imran Tahir,top,254,150,9,10.16,16.67,CSK
SZ Mulani,top,340,222,9,9.19,24.67,LSG
A Nortje,top,331,212,9,9.37,23.56,
DS Rathi,middle,465,308,9,9.06,34.22,KKR
TU Deshpande,middle,139,111,9,7.51,12.33,MI
PWH de Silva,top,328,240,9,8.2,26.67,RCB
NT Ellis,tail,113,84,9,8.07,9.33,SRH
DAJ Bracewell,top,273,181,9,9.05,20.11,RCB
Harshit Rana,top,432,275,9,9.43,30.56,KKR
AJ Tye,top,137,77,9,10.68,8.56,
Tanush Kotian,tail,65,54,9,7.22,6.0,CSK
SM Curran,top,341,202,9,10.13,22.44,
Sikandar Raza,top,543,350,9,9.31,38.89,MI
M Theekshana,top,329,238,8,8.29,29.75,
KK Ahmed,top,429,284,8,9.06,35.5,RR
Fazalhaq Farooqi,tail,70,65,8,6.46,8.12,CSK
Khrievitso Kense,top,285,210,8,8.14,26.25,RCB
Ravi Bishnoi,tail,108,90,8,7.2,11.25,LSG
Suryansh Shedge,tail,181,122,8,8.9,15.25,CSK
Shakib Al Hasan,middle,310,210,8,8.86,26.25,PBKS
Khrievitso Kense,middle,145,126,8,6.9,15.75,RCB
I Sharma,top,173,116,8,8.95,14.5,RCB
Shakib Al Hasan,tail,68,65,8,6.28,8.12,PBKS
Abdul Samad,middle,157,100,8,9.42,12.5,LSG
M Jansen,top,319,205,7,9.34,29.29,
JJ Smit,top,191,113,7,10.14,16.14,PBKS
