striker,phase,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,bowling_type,Curr_Tm
Abhishek Sharma,PP,789,429,15,91,34,136,183.92,52.6,3.43,31.7,pace,MI
PD Salt,PP,788,463,15,98,29,166,170.19,52.53,3.65,35.85,pace,RCB
KL Rahul,Middle,745,494,9,50,31,109,150.81,82.78,6.1,22.06,spin,SRH
GJ Maxwell,PP,742,414,12,93,25,134,179.23,61.83,3.51,32.37,pace,RR
N Pooran,Middle,703,466,8,47,30,119,150.86,87.88,6.05,25.54,pace,MI
TM Head,PP,685,440,12,96,12,155,155.68,57.08,4.07,35.23,pace,MI
SV Samson,PP,680,438,12,86,21,166,155.25,56.67,4.09,37.9,pace,GT
P Simran Singh,PP,674,373,9,70,33,116,180.7,74.89,3.62,31.1,spin,SRH
Shubman Gill,PP,658,421,15,81,20,156,156.29,43.87,4.17,37.05,pace,LSG
Ishan Kishan,PP,631,400,15,71,32,178,157.75,42.07,3.88,44.5,pace,MI
RD Gaikwad,PP,622,400,15,72,21,135,155.5,41.47,4.3,33.75,pace,GT
V Kohli,PP,618,377,12,86,14,127,163.93,51.5,3.77,33.69,pace,DC
Naman Dhir,Middle,615,375,8,51,15,46,164.0,76.88,5.68,12.27,spin,GT
Tilak Varma,PP,594,378,13,67,27,164,157.14,45.69,4.02,43.39,pace,CSK
P Simran Singh,PP,590,349,15,67,24,117,169.05,39.33,3.84,33.52,pace,SRH
TM Head,Middle,589,384,11,42,24,91,153.39,53.55,5.82,23.7,pace,MI
RD Rickelton,PP,576,285,12,57,32,80,202.11,48.0,3.2,28.07,pace,LSG
SA Yadav,Middle,573,347,16,40,29,80,165.13,35.81,5.03,23.05,spin,DC
SA Yadav,Middle,559,335,14,59,14,76,166.87,39.93,4.59,22.69,pace,DC
Shubman Gill,PP,549,352,7,57,19,97,155.97,78.43,4.63,27.56,spin,LSG
B Sai Sudharsan,Middle,541,333,3,41,19,59,162.46,180.33,5.55,17.72,spin,CSK
RM Patidar,Middle,527,347,14,34,26,87,151.87,37.64,5.78,25.07,spin,KKR
N Pooran,Middle,523,354,9,33,20,84,147.74,58.11,6.68,23.73,spin,MI
Naman Dhir,Middle,519,307,13,41,19,64,169.06,39.92,5.12,20.85,pace,GT
SS Iyer,Middle,518,327,11,37,24,81,158.41,47.09,5.36,24.77,spin,LSG
GJ Maxwell,PP,503,294,7,48,17,56,171.09,71.86,4.52,19.05,spin,RR
SV Samson,Middle,503,337,9,30,20,75,149.26,55.89,6.74,22.26,spin,GT
Shubman Gill,Middle,494,335,12,41,12,74,147.46,41.17,6.32,22.09,spin,LSG
N Sindhu,PP,485,266,12,48,27,91,182.33,40.42,3.55,34.21,pace,DC
B Sai Sudharsan,PP,480,334,15,60,15,144,143.71,32.0,4.45,43.11,pace,CSK
PD Salt,PP,479,266,12,50,22,84,180.08,39.92,3.69,31.58,spin,RCB
AM Rahane,Middle,478,361,15,34,12,95,132.41,31.87,7.85,26.32,pace,MI
GJ Maxwell,Middle,462,298,10,34,20,71,155.03,46.2,5.52,23.83,spin,RR
YBK Jaiswal,Death,460,189,6,37,32,27,243.39,76.67,2.74,14.29,pace,RR
P Simran Singh,Middle,457,313,14,28,18,66,146.01,32.64,6.8,21.09,spin,SRH
AM Rahane,Middle,455,271,5,32,21,57,167.9,91.0,5.11,21.03,spin,MI
GJ Maxwell,Middle,453,282,13,39,17,72,160.64,34.85,5.04,25.53,pace,RR
SA Yadav,PP,450,248,8,56,17,84,181.45,56.25,3.4,33.87,pace,DC
Abhishek Sharma,PP,439,237,4,47,17,59,185.23,109.75,3.7,24.89,spin,MI
VR Iyer,Middle,433,321,9,32,13,85,134.89,48.11,7.13,26.48,spin,SRH
H Klaasen,Middle,426,310,8,29,16,87,137.42,53.25,6.89,28.06,spin,CSK
Q de Kock,PP,424,300,12,36,20,114,141.33,35.33,5.36,38.0,spin,KKR
RD Gaikwad,Middle,419,263,11,31,14,51,159.32,38.09,5.84,19.39,spin,GT
Abhishek Sharma,Middle,417,249,13,36,14,51,167.47,32.08,4.98,20.48,spin,MI
PP Shaw,PP,416,285,12,54,13,126,145.96,34.67,4.25,44.21,pace,RCB
JP Inglis,Middle,414,260,10,29,15,48,159.23,41.4,5.91,18.46,spin,GT
SV Samson,Middle,412,281,13,28,12,63,146.62,31.69,7.02,22.42,pace,GT
Smaran Ravichandran,Middle,411,245,8,26,14,53,167.76,51.38,6.12,21.63,spin,PBKS
Abishek Porel,Middle,409,247,11,41,12,64,165.59,37.18,4.66,25.91,pace,DC
Tilak Varma,Middle,409,303,18,30,18,102,134.98,22.72,6.31,33.66,pace,CSK
N Pooran,Death,409,190,14,34,27,36,215.26,29.21,3.11,18.95,pace,MI
PD Salt,Middle,407,274,8,31,12,65,148.54,50.88,6.37,23.72,pace,RCB
RK Singh,Death,406,199,5,31,24,31,204.02,81.2,3.62,15.58,pace,MI
S Dube,Middle,405,293,9,27,16,94,138.23,45.0,6.81,32.08,pace,RR
T Stubbs,Middle,399,287,9,31,13,85,139.02,44.33,6.52,29.62,pace,CSK
Q de Kock,PP,397,252,9,46,16,95,157.54,44.11,4.06,37.7,pace,KKR
Tilak Varma,Middle,396,267,10,31,13,70,148.31,39.6,6.07,26.22,spin,CSK
DP Conway,PP,393,249,13,43,13,91,157.83,30.23,4.45,36.55,pace,PBKS
V Kohli,Middle,391,284,11,23,14,75,137.68,35.55,7.68,26.41,spin,DC
SS Iyer,Middle,391,272,9,30,13,78,143.75,43.44,6.33,28.68,pace,LSG
Shubman Gill,Middle,391,260,6,31,10,52,150.38,65.17,6.34,20.0,pace,LSG
S Dube,Middle,390,266,8,21,23,86,146.62,48.75,6.05,32.33,spin,RR
RD Rickelton,PP,388,252,11,44,14,98,153.97,35.27,4.34,38.89,spin,LSG
SV Samson,PP,384,252,6,44,9,90,152.38,64.0,4.75,35.71,spin,GT
Abishek Porel,Middle,384,229,8,19,22,54,167.69,48.0,5.59,23.58,spin,DC
RD Gaikwad,PP,383,246,11,60,4,87,155.69,34.82,3.84,35.37,spin,GT
Abhishek Sharma,Middle,377,266,9,23,15,65,141.73,41.89,7.0,24.44,pace,MI
V Suryavanshi,PP,375,228,6,44,14,81,164.47,62.5,3.93,35.53,spin,PBKS
N Rana,Middle,374,225,9,33,17,67,166.22,41.56,4.5,29.78,pace,PBKS
N Sindhu,Middle,368,198,4,27,17,40,185.86,92.0,4.5,20.2,spin,DC
V Kohli,Middle,367,240,7,23,14,53,152.92,52.43,6.49,22.08,pace,DC
JM Sharma,Death,365,189,9,30,23,54,193.12,40.56,3.57,28.57,pace,RCB
V Kohli,PP,355,235,9,38,15,88,151.06,39.44,4.43,37.45,spin,DC
Priyansh Arya,PP,355,212,3,44,11,77,167.45,118.33,3.85,36.32,pace,SRH
JC Buttler,PP,345,252,11,43,9,107,136.9,31.36,4.85,42.46,pace,LSG
JC Buttler,Middle,336,191,7,25,16,48,175.92,48.0,4.66,25.13,pace,LSG
RM Patidar,Middle,332,264,13,29,5,85,125.76,25.54,7.76,32.2,pace,KKR
B Sai Sudharsan,Middle,330,251,11,22,16,96,131.47,30.0,6.61,38.25,pace,CSK
WG Jacks,Middle,329,194,5,23,16,45,169.59,65.8,4.97,23.2,pace,LSG
TM Head,PP,328,205,8,42,10,77,160.0,41.0,3.94,37.56,spin,MI
FH Allen,PP,323,185,4,31,15,55,174.59,80.75,4.02,29.73,spin,PBKS
Ishan Kishan,Middle,323,228,18,25,15,84,141.67,17.94,5.7,36.84,pace,MI
BM Duckett,PP,322,190,8,37,12,63,169.47,40.25,3.88,33.16,pace,PBKS
DP Conway,Middle,319,206,1,23,8,35,154.85,319.0,6.65,16.99,spin,PBKS
RD Gaikwad,Middle,319,191,9,25,16,51,167.02,35.44,4.66,26.7,pace,GT
KA Pollard,Death,319,144,2,31,19,23,221.53,159.5,2.88,15.97,pace,CSK
Aniket Verma,Middle,318,178,4,28,14,41,178.65,79.5,4.24,23.03,spin,RR
F du Plessis,Middle,313,228,5,19,12,61,137.28,62.6,7.35,26.75,pace,
Naman Dhir,Death,312,148,5,28,15,17,210.81,62.4,3.44,11.49,pace,GT
Smaran Ravichandran,Middle,311,212,9,13,15,55,146.7,34.56,7.57,25.94,pace,PBKS
JC Buttler,Middle,309,193,9,24,10,45,160.1,34.33,5.68,23.32,spin,LSG
RK Singh,Middle,309,212,6,26,8,49,145.75,51.5,6.24,23.11,pace,MI
N Sindhu,PP,306,178,7,36,8,58,171.91,43.71,4.05,32.58,spin,DC
R Parag,Death,305,166,12,20,21,47,183.73,25.42,4.05,28.31,pace,GT
JM Sharma,Middle,304,197,7,24,13,48,154.31,43.43,5.32,24.37,spin,RCB
LS Livingstone,Middle,304,259,15,14,15,95,117.37,20.27,8.93,36.68,spin,RCB
H Klaasen,Middle,304,197,8,27,9,52,154.31,38.0,5.47,26.4,pace,CSK
VR Iyer,Death,299,156,6,22,17,26,191.67,49.83,4.0,16.67,spin,SRH
V Suryavanshi,Middle,298,192,7,23,13,47,155.21,42.57,5.33,24.48,spin,PBKS
JM Sharma,Middle,298,188,7,13,17,54,158.51,42.57,6.27,28.72,pace,RCB
Priyansh Arya,PP,296,181,12,34,12,71,163.54,24.67,3.93,39.23,spin,SRH
AD Russell,Death,296,147,5,21,20,36,201.36,59.2,3.59,24.49,pace,DC
KL Rahul,Middle,294,202,8,26,9,55,145.54,36.75,5.77,27.23,pace,SRH
LS Livingstone,Middle,291,192,5,21,11,46,151.56,58.2,6.0,23.96,pace,RCB
KL Rahul,PP,290,198,4,20,18,79,146.46,72.5,5.21,39.9,spin,SRH
FH Allen,PP,290,176,10,33,11,64,164.77,29.0,4.0,36.36,pace,PBKS
Shashank Singh,Death,288,144,4,14,20,22,200.0,72.0,4.24,15.28,spin,PBKS
YBK Jaiswal,Middle,286,206,8,20,7,54,138.83,35.75,7.63,26.21,spin,RR
