striker,match_id,batting_team,balls,bowling_team
Priyansh Arya,S02M045,SRH,15,RR
Aniket Verma,S03M016,RR,16,SRH
N Sindhu,M067,DC,17,RCB
Abishek Porel,S03M034,DC,17,RR
N Sindhu,S03M034,DC,18,RR
H Klaasen,S02M056,PBKS,18,GT
RD Rickelton,S02M054,RR,19,DC
JC Buttler,S02M030,KKR,19,SRH
V Kohli,S03M003,DC,19,RCB
BM Duckett,S02M057,SRH,19,LSG
BM Duckett,S02M030,SRH,19,KKR
TM Head,M012,CSK,19,SRH
JP Inglis,S02M059,GT,21,RR
RD Rickelton,S03M034,RR,21,DC
GJ Maxwell,S02M072,RR,21,MI
RR Rossouw,S02M008,MI,21,PBKS
Q de Kock,M027,PBKS,21,SRH
B Sai Sudharsan,S03M025,RCB,21,LSG
Shashank Singh,M042,PBKS,22,MI
TM Head,M073,CSK,22,SRH
Tilak Varma,S02M036,CSK,22,RR
YBK Jaiswal,M062,RR,22,GT
Shubman Gill,S03M017,LSG,22,MI
Ashutosh Sharma,S03M009,RCB,22,PBKS
Abishek Porel,S02M054,DC,22,RR
BA Stokes,M013,LSG,22,PBKS
Tilak Varma,S03M018,CSK,23,DC
RM Patidar,S02M005,RR,23,GT
P Simran Singh,M044,SRH,23,RR
B Sai Sudharsan,S02M031,RCB,23,RR
SA Yadav,S02M002,DC,23,SRH
N Sindhu,S02M028,DC,23,GT
Abhishek Sharma,M049,MI,23,LSG
Shubman Gill,M024,LSG,23,GT
SP Narine,S02M057,LSG,23,SRH
YBK Jaiswal,S02M031,RR,23,RCB
Abhishek Sharma,S02M044,MI,23,CSK
Abhishek Sharma,M002,MI,23,KKR
Shashank Singh,M017,PBKS,23,MI
GJ Maxwell,S02M045,RR,24,SRH
JC Buttler,M014,KKR,24,RCB
Priyansh Arya,S03M011,SRH,24,LSG
RD Rickelton,S02M031,RR,24,RCB
P Simran Singh,M069,SRH,24,DC
KL Rahul,M036,SRH,24,DC
Shashank Singh,S02M049,PBKS,24,RR
Abishek Porel,S02M028,DC,24,GT
V Kohli,S02M011,DC,24,RCB
Abishek Porel,M036,DC,24,SRH
PD Salt,M005,RCB,24,GT
Abhishek Sharma,S02M072,MI,25,RR
VR Iyer,M040,SRH,25,RR
SS Iyer,S02M047,LSG,25,MI
SS Iyer,S02M069,LSG,25,GT
GJ Maxwell,S02M059,RR,25,GT
N Rana,M038,KKR,25,CSK
TM Head,M034,CSK,25,RR
Smaran Ravichandran,S02M021,PBKS,25,RCB
FH Allen,S02M008,MI,25,PBKS
Ishan Kishan,M010,KKR,25,GT
SA Yadav,S03M010,DC,25,GT
V Kohli,S02M064,DC,25,KKR
RD Rickelton,S03M029,RR,25,RCB
TM Head,S03M026,CSK,25,SRH
FH Allen,S03M011,LSG,25,SRH
JC Buttler,S02M010,KKR,26,RR
P Simran Singh,S03M016,SRH,26,RR
R Powell,S02M035,KKR,26,LSG
PP Shaw,S02M044,MI,26,CSK
J Fraser-McGurk,S02M046,RCB,26,KKR
JM Bairstow,S03M032,KKR,26,CSK
AM Rahane,S03M004,KKR,26,LSG
LS Livingstone,M073,SRH,26,CSK
YBK Jaiswal,S02M062,RR,26,MI
Abhishek Sharma,S02M047,MI,26,LSG
Shashank Singh,M053,PBKS,26,CSK
WG Jacks,M039,LSG,26,GT
WG Jacks,M049,LSG,26,MI
KL Rahul,S02M007,SRH,26,RCB
H Klaasen,S03M005,PBKS,26,GT
SA Yadav,S03M013,DC,26,RCB
B Sai Sudharsan,M022,MI,26,SRH
S Dube,M055,RR,26,MI
Q de Kock,M013,PBKS,26,LSG
B Sai Sudharsan,M049,MI,26,LSG
FH Allen,S03M030,LSG,26,DC
Arshad Khan,S03M008,KKR,26,CSK
MP Stoinis,M035,PBKS,26,LSG
GJ Maxwell,S02M025,RR,26,KKR
Q de Kock,S02M041,PBKS,26,RR
SV Samson,S03M010,GT,26,DC
SV Samson,M010,GT,26,KKR
SS Iyer,M065,LSG,27,RR
RD Gaikwad,S02M016,RCB,27,CSK
Ishan Kishan,S02M004,KKR,27,LSG
Atharva Taide,M065,RR,27,LSG
N Sindhu,S03M030,DC,27,LSG
Ishan Kishan,S03M032,KKR,27,CSK
Urvil Patel,S03M018,DC,27,CSK
DP Conway,M033,GT,27,MI
BM Duckett,S02M002,SRH,27,DC
Abishek Porel,S02M068,DC,27,SRH
Urvil Patel,M048,DC,27,RR
Ishan Kishan,S03M004,KKR,27,LSG
WG Jacks,S02M004,LSG,27,KKR
BA Stokes,M065,LSG,27,RR
Shubman Gill,S03M030,LSG,27,DC
DP Conway,S02M052,GT,27,RCB
LS Livingstone,S03M026,SRH,27,CSK
V Suryavanshi,S03M015,PBKS,27,KKR
P Simran Singh,S02M018,SRH,27,GT
RR Pant,M017,PBKS,27,MI
RD Gaikwad,M009,RCB,27,DC
