bowler,match_id,bowling_team,batting_team,balls
AD Russell,S03M060,DC,KKR,15
YK Pathan,S05M076,KKR,RCB,16
NT Ellis,S04M076,SRH,RR,16
YS Chahal,S03M062,RCB,SRH,16
SS Ghosh,S05M090,MI,KKR,17
Arshdeep Singh,S05M016,LSG,KKR,18
JJ Bumrah,S05M047,DC,RCB,18
AR Patel,M074,CSK,PBKS,19
MA Starc,M052,KKR,RR,20
C Green,S04M013,KKR,MI,20
JJ Smit,S04M083,PBKS,DC,21
M Pathirana,S04M037,RCB,GT,22
Mohammad Ghazanfar,S03M036,CSK,SRH,22
Washington Sundar,M074,PBKS,CSK,22
Fazalhaq Farooqi,S02M048,CSK,GT,22
HH Pandya,M037,MI,RCB,22
YS Chahal,S04M029,RCB,GT,23
NT Ellis,S03M069,LSG,SRH,23
WG Jacks,S05M025,LSG,RCB,23
Karan Lal,S04M066,RR,GT,23
JC Archer,S02M069,LSG,GT,23
B Kumar,M043,KKR,RCB,23
AR Patel,M053,CSK,PBKS,24
Tanush Kotian,S04M051,CSK,DC,24
Fazalhaq Farooqi,S04M046,CSK,LSG,24
JC Archer,S04M063,LSG,KKR,24
Shaheen Shah Afridi,S05M077,MI,GT,24
Washington Sundar,M027,PBKS,SRH,24
JR Hazlewood,S02M072,RR,MI,24
HH Pandya,S05M023,MI,LSG,24
HJ Manenti,S05M018,PBKS,DC,24
SS Ghosh,S05M005,MI,KKR,31
Atharva Ankolekar,S03M012,MI,RR,35
Atharva Ankolekar,S05M006,MI,DC,39
SS Ghosh,S02M008,MI,PBKS,43
SS Ghosh,S03M028,MI,PBKS,43
